,Gender,Education_Level,Location,Proximity_to_Beaches,Favorite_Season,Environmental_Concerns,Class
869,2,2,3,89,1,0,1
870,2,4,2,295,1,1,1
871,3,2,1,74,2,0,0
872,1,2,3,6,3,0,0
873,3,1,2,232,1,1,0
874,1,2,3,59,2,1,1
875,1,3,3,132,1,1,1
876,1,1,1,91,3,1,0
877,1,1,1,262,1,1,0
878,2,1,1,279,2,1,0
879,2,4,2,19,4,1,0
880,1,1,1,248,4,1,0
881,1,4,3,254,4,1,1
882,3,1,3,254,3,0,0
883,1,3,3,88,1,1,0
884,1,2,2,118,3,0,0
885,3,1,3,93,1,1,1
886,1,1,2,190,4,0,0
887,3,4,1,235,4,0,0
888,2,3,2,214,1,0,0
889,3,1,2,260,1,0,0
890,1,4,2,273,4,1,0
891,1,2,3,202,1,1,0
892,1,2,2,7,4,0,0
893,3,3,3,286,1,1,0
894,3,2,2,111,3,0,0
895,1,1,2,272,3,1,0
896,3,1,3,240,2,0,1
897,1,1,2,228,4,1,0
898,1,1,1,112,2,0,0
899,3,4,2,209,4,0,1
900,2,2,2,172,2,1,0
901,2,3,1,172,1,0,1
902,2,3,3,160,4,1,1
903,3,4,3,224,3,1,0
904,3,4,3,298,4,0,0
905,3,2,1,28,3,1,1
906,3,3,1,125,3,0,0
907,2,3,1,265,3,0,1
908,1,3,2,286,4,0,1
909,2,2,2,43,4,1,0
910,1,4,2,135,4,0,0
911,3,4,3,147,1,0,0
912,1,3,2,99,1,0,1
913,2,2,2,50,1,1,0
914,1,4,3,205,3,1,1
915,3,3,3,105,3,0,0
916,3,2,2,269,3,1,1
917,2,3,1,42,3,0,0
918,1,1,3,170,1,1,0
919,1,4,3,168,1,1,1
920,3,2,1,213,2,0,0
921,1,3,3,190,4,1,1
922,2,1,1,2,4,0,0
923,1,4,2,75,2,1,0
924,2,3,2,210,1,0,1
925,3,1,3,247,3,0,1
926,3,1,1,249,1,1,1
927,3,4,1,292,2,0,1
928,2,3,2,271,2,0,1
929,2,2,2,239,2,1,1
930,3,3,2,279,4,1,0
931,1,3,2,148,2,1,1
932,3,4,3,281,2,1,1
933,2,1,3,135,2,0,0
934,2,3,1,261,4,1,1
935,2,2,1,229,1,1,0
936,3,4,1,227,1,0,0
937,3,2,3,186,1,1,0
938,3,4,3,182,2,1,0
939,2,4,2,298,2,1,1
940,1,4,3,252,3,1,0
941,3,2,3,41,2,1,1
942,1,4,3,185,3,0,0
943,2,3,1,278,3,0,1
944,2,1,2,255,3,0,0
945,3,2,2,58,1,1,0
946,1,4,1,166,2,1,1
947,1,1,1,118,3,0,1
948,3,1,1,256,1,1,1
949,2,2,1,114,1,1,0
950,1,3,2,184,1,1,0
951,3,4,1,241,4,0,1
952,2,1,2,228,4,0,1
953,1,1,1,123,4,0,0
954,2,4,3,81,4,0,1
955,3,2,2,245,2,0,1
956,3,2,3,195,4,1,0
957,3,3,3,171,3,0,1
958,2,2,2,74,1,0,0
959,3,4,2,163,2,0,1
960,2,3,1,201,2,0,1
961,2,4,2,117,2,0,0
962,2,4,1,141,1,0,0
963,3,3,3,85,2,0,0
964,2,3,3,96,3,0,1
965,2,3,1,41,1,1,0
966,3,2,1,15,2,1,0
967,1,2,2,55,3,0,0
968,2,2,1,18,2,1,0
969,1,4,2,146,2,1,0
970,3,4,3,126,2,1,0
971,2,1,1,43,2,0,0
972,2,1,2,188,2,0,1
973,1,1,1,36,1,0,0
974,1,1,3,198,4,1,1
975,3,3,2,225,4,0,1
976,2,3,3,272,3,1,1
977,1,4,1,70,1,0,0
978,3,1,2,154,3,1,0
979,1,2,2,134,1,1,0
980,1,1,3,241,2,1,0
981,3,1,3,185,2,1,0
982,1,2,3,250,1,1,0
983,2,2,2,121,3,1,0
984,3,4,2,158,4,1,0
985,3,4,1,286,3,0,1
986,3,3,1,294,4,1,1
987,3,2,2,265,2,0,1
988,1,4,2,112,3,0,1
989,2,1,3,136,1,0,1
990,1,3,3,12,3,1,0
991,2,1,1,284,1,1,0
992,1,1,3,262,3,0,1
993,3,3,1,157,4,1,0
994,1,3,2,267,4,0,1
995,2,4,2,297,2,0,0
996,2,2,1,96,3,1,0
997,2,4,1,108,1,1,1
998,2,1,2,87,2,1,0
999,2,4,3,208,3,0,0
1000,3,4,1,22,3,1,0
1001,1,3,2,0,2,0,0
1002,1,3,1,36,3,0,0
1003,1,3,3,32,1,0,0
1004,1,4,1,180,1,1,1
1005,1,2,3,259,4,1,1
1006,2,4,1,139,3,0,0
1007,2,3,2,178,1,1,0
1008,2,2,3,176,3,1,1
1009,1,3,1,131,4,1,0
1010,3,4,2,212,3,0,0
1011,3,2,3,193,1,1,1
1012,1,2,2,297,1,1,1
1013,2,4,2,290,2,1,0
1014,3,4,3,216,2,1,0
1015,1,3,2,145,1,1,0
1016,3,1,2,275,4,1,1
1017,1,1,3,258,2,0,1
1018,3,4,2,260,2,1,1
1019,2,1,2,29,3,1,0
1020,3,4,2,167,2,1,1
1021,3,2,2,88,3,0,0
1022,3,2,3,89,4,0,0
1023,3,3,3,285,1,1,1
1024,3,4,2,243,4,0,1
1025,3,2,2,216,1,0,0
1026,2,3,1,176,4,0,0
1027,2,1,2,158,1,0,1
1028,3,2,2,109,2,0,1
1029,1,4,1,267,1,0,0
1030,3,3,1,225,2,0,1
1031,1,3,2,199,4,0,1
1032,3,1,2,142,4,0,0
1033,1,4,1,289,1,0,1
1034,2,4,1,297,1,1,1
1035,1,2,1,187,2,0,1
1036,1,3,3,56,4,1,0
1037,1,4,2,299,2,0,1
1038,1,1,2,180,1,0,1
1039,3,4,1,39,2,1,1
1040,3,1,3,113,2,1,0
1041,2,3,2,94,3,1,0
1042,2,2,3,260,1,0,1
1043,3,3,1,190,3,1,1
1044,1,4,2,214,1,0,1
1045,2,2,3,167,3,0,1
1046,3,1,2,165,1,0,1
1047,1,3,1,161,1,1,0
1048,1,4,1,139,4,1,1
1049,1,4,3,13,3,1,0
1050,1,2,3,39,3,1,0
1051,3,1,3,130,1,0,0
1052,3,1,3,253,1,1,1
1053,1,3,3,12,1,1,0
1054,1,3,2,125,3,0,1
1055,1,1,1,146,2,0,0
1056,3,4,3,182,3,1,1
1057,3,1,3,87,2,0,0
1058,2,2,1,213,2,0,1
1059,1,3,2,118,4,0,0
1060,1,4,3,226,4,1,1
1061,2,3,3,137,3,1,1
1062,2,4,2,242,2,0,0
1063,3,2,3,291,4,1,1
1064,1,3,1,228,1,1,1
1065,1,2,1,3,2,0,0
1066,1,3,2,223,2,1,1
1067,2,4,3,65,4,1,1
1068,1,4,3,243,4,1,1
1069,1,1,2,196,1,0,1
1070,1,4,2,132,4,0,0
1071,3,3,3,238,2,0,0
1072,2,1,1,262,1,0,0
1073,1,3,2,294,1,0,1
1074,2,2,3,52,4,1,0
1075,1,1,1,110,3,1,0
1076,2,2,3,282,3,1,1
1077,1,4,2,293,2,1,1
1078,1,3,1,219,3,0,1
1079,2,2,1,198,4,1,1
1080,3,3,1,199,3,0,0
1081,2,4,1,295,3,0,1
1082,1,3,1,86,1,1,1
1083,3,2,1,18,1,0,0
1084,2,3,3,2,3,0,0
1085,2,4,1,176,1,0,1
1086,1,1,3,233,1,1,0
1087,3,3,2,31,2,0,1
1088,3,3,3,233,2,1,0
1089,1,3,3,41,1,1,0
1090,2,1,2,111,2,0,1
1091,2,1,1,26,3,0,1
1092,3,1,1,7,2,0,0
1093,2,3,1,27,1,0,0
1094,2,4,2,44,1,0,0
1095,2,4,2,28,4,0,0
1096,2,4,3,272,3,1,1
1097,3,2,2,64,2,0,0
1098,3,3,2,27,4,0,0
1099,3,1,3,210,3,1,1
1100,1,1,1,104,1,1,0
1101,1,2,1,94,4,0,0
1102,1,4,1,235,4,0,1
1103,3,2,3,105,2,1,0
1104,2,4,1,102,3,1,1
1105,2,4,2,280,1,0,1
1106,2,4,2,207,1,0,1
1107,1,2,2,8,4,1,0
1108,3,4,1,133,4,1,0
1109,2,3,1,204,1,1,1
1110,2,1,3,201,1,1,0
1111,1,4,1,204,3,0,0
1112,1,3,3,165,1,1,1
1113,2,1,1,137,4,1,0
1114,3,4,1,92,4,1,1
1115,1,2,1,104,2,0,0
1116,3,3,2,189,2,0,1
1117,2,3,2,2,1,1,0
1118,3,2,3,190,3,0,1
1119,1,4,3,247,4,0,1
1120,2,3,3,121,1,0,1
1121,2,1,3,110,2,1,0
1122,3,4,2,218,2,1,0
1123,3,4,1,148,4,1,0
1124,3,2,2,269,3,0,1
1125,1,3,1,45,4,1,0
1126,3,2,1,22,2,0,0
1127,1,1,3,196,1,0,1
1128,3,1,1,264,2,1,1
1129,1,1,2,35,3,0,0
1130,1,4,3,151,1,1,1
1131,1,3,2,75,1,1,0
1132,3,2,1,292,2,1,1
1133,3,1,2,113,2,1,0
1134,2,2,3,100,3,0,0
1135,3,4,2,285,3,0,1
1136,3,1,1,160,1,0,0
1137,2,2,3,246,2,0,1
1138,3,4,3,41,1,1,1
1139,1,3,1,188,4,0,1
1140,2,1,1,214,4,0,0
1141,2,4,3,280,2,1,1
1142,1,1,1,155,4,1,1
1143,3,1,2,298,3,0,1
1144,2,2,3,239,3,0,1
1145,3,1,1,53,3,1,0
1146,1,1,2,163,4,1,1
1147,2,3,2,275,2,1,1
1148,2,4,1,107,4,1,0
1149,1,4,3,224,4,1,1
1150,1,4,2,233,1,1,1
1151,1,3,1,172,1,1,1
1152,1,1,3,51,4,0,0
1153,3,4,2,9,2,0,0
1154,2,2,2,134,2,0,0
1155,3,3,3,49,3,1,0
1156,3,3,2,193,2,1,1
1157,1,3,2,106,1,1,1
1158,3,1,1,60,2,1,0
1159,1,2,1,227,4,0,0
1160,1,4,3,83,4,0,1
1161,1,4,2,254,2,1,1
1162,1,1,1,155,4,1,1
1163,3,4,3,263,1,0,0
1164,3,3,3,272,3,0,1
1165,2,2,2,161,2,1,0
1166,2,4,1,163,1,0,0
1167,2,4,2,188,1,0,0
1168,3,4,2,203,4,1,0
1169,2,1,1,286,4,1,1
1170,2,1,2,44,1,0,1
1171,3,3,1,165,1,1,0
1172,3,4,1,204,2,0,0
1173,1,3,2,120,4,0,0
1174,2,1,1,252,1,0,0
1175,3,4,1,212,4,1,0
1176,1,1,3,189,4,0,0
1177,3,2,1,178,4,0,0
1178,2,4,3,298,1,1,0
1179,1,1,1,97,2,1,0
1180,2,3,1,186,3,1,0
1181,3,2,3,267,1,0,1
1182,3,3,3,150,4,1,1
1183,2,2,2,209,1,0,1
1184,1,2,1,235,1,1,1
1185,2,1,2,107,2,0,1
1186,1,3,2,225,1,1,0
1187,1,2,1,67,2,1,0
1188,2,1,1,187,4,0,0
1189,1,1,3,295,4,0,0
1190,3,4,3,147,4,0,0
1191,3,4,3,50,1,1,0
1192,1,3,2,94,4,0,0
1193,1,2,3,90,2,1,0
1194,1,1,3,72,4,0,0
1195,2,1,1,148,3,1,1
1196,3,3,3,148,3,0,1
1197,3,3,2,242,1,1,1
1198,3,1,2,22,2,0,0
1199,3,3,1,216,3,1,1
1200,2,2,2,41,2,1,0
1201,1,3,2,105,1,1,0
1202,1,1,2,137,1,0,1
1203,3,3,2,174,2,0,1
1204,1,1,2,198,4,0,1
1205,1,2,1,141,4,1,1
1206,2,3,3,84,2,0,0
1207,3,1,3,91,1,0,0
1208,1,3,1,182,2,0,1
1209,2,3,2,99,4,1,0
1210,1,2,3,110,4,1,1
1211,2,1,1,49,4,0,1
1212,1,1,1,240,3,1,1
1213,3,4,2,155,4,0,0
1214,3,1,3,227,1,1,1
1215,3,3,2,287,4,1,1
1216,2,3,3,106,2,1,0
1217,1,2,3,266,3,0,0
1218,3,3,1,295,4,0,0
1219,2,1,2,285,3,0,1
1220,1,4,1,37,2,1,0
1221,3,1,3,247,2,1,1
1222,2,2,3,41,4,0,0
1223,3,2,3,114,3,1,0
1224,1,3,2,51,1,1,1
1225,1,2,3,40,4,0,0
1226,3,1,2,233,4,0,1
1227,1,2,3,63,1,1,1
1228,3,2,3,78,2,1,1
1229,2,4,2,108,3,1,0
1230,1,2,1,150,1,0,0
1231,3,4,2,251,3,1,0
1232,2,1,3,258,3,1,1
1233,1,2,1,264,1,0,1
1234,1,3,1,270,2,0,0
1235,2,1,2,24,3,1,1
1236,2,2,2,269,3,1,0
1237,3,2,2,193,2,0,0
1238,1,3,1,126,2,1,0
1239,3,1,1,102,2,1,1
1240,3,1,3,272,3,0,1
1241,1,4,1,181,3,0,0
1242,3,2,3,246,1,1,1
1243,2,3,1,217,3,0,1
1244,1,1,1,213,3,1,1
1245,2,3,2,128,2,1,0
1246,1,3,3,159,1,0,0
1247,2,3,2,105,3,0,1
1248,2,2,3,289,1,1,0
1249,2,3,1,124,4,1,0
1250,3,4,3,25,2,0,0
1251,3,3,3,250,3,0,1
1252,3,1,2,137,1,1,1
1253,3,2,1,262,4,1,1
1254,1,2,2,81,1,1,0
1255,1,1,3,164,1,0,1
1256,1,3,3,100,4,0,1
1257,1,2,3,186,1,1,0
1258,3,1,3,266,3,1,1
1259,2,1,2,209,4,0,1
1260,1,3,2,272,1,1,1
1261,3,4,1,132,4,1,1
1262,2,2,3,185,3,0,0
1263,2,3,1,284,4,1,1
1264,3,3,3,105,4,0,0
1265,3,2,3,287,1,1,1
1266,1,4,2,230,1,1,0
1267,2,1,1,17,3,1,1
1268,2,4,3,236,3,1,1
1269,1,1,2,98,2,0,1
1270,3,1,2,103,1,1,0
1271,1,3,2,208,1,0,0
1272,2,4,1,4,2,0,0
1273,1,3,3,173,1,1,0
1274,2,1,3,173,4,1,0
1275,2,2,1,26,2,0,0
1276,1,2,2,61,1,0,1
1277,2,4,2,134,4,1,0
1278,3,4,3,237,3,0,0
1279,1,4,1,282,1,0,1
1280,2,3,3,221,2,0,1
1281,1,4,1,238,4,0,1
1282,3,3,1,46,1,0,0
1283,3,3,3,129,4,0,0
1284,2,4,3,228,3,0,0
1285,3,2,1,247,1,1,1
1286,2,3,1,245,4,1,0
1287,2,3,3,227,1,1,1
1288,1,1,3,185,3,1,0
1289,1,4,3,172,4,0,0
1290,1,3,3,44,4,1,0
1291,3,3,3,284,4,1,1
1292,1,2,2,50,4,1,0
1293,1,3,1,61,4,0,0
1294,1,3,2,115,4,0,1
1295,1,3,1,115,2,1,1
1296,1,1,1,96,3,0,0
1297,1,2,3,138,4,0,0
1298,1,4,3,26,1,0,0
1299,2,4,1,42,1,1,0
1300,2,1,2,280,4,1,1
1301,1,2,2,274,2,0,0
1302,1,2,1,106,2,0,0
1303,2,4,3,275,3,0,0
1304,2,4,1,146,2,0,0
1305,2,3,3,97,4,1,1
1306,1,3,2,222,1,1,1
1307,3,3,2,95,3,0,1
1308,2,4,1,217,4,1,1
1309,2,1,1,68,3,0,1
1310,1,1,2,286,3,1,1
1311,3,2,1,57,1,1,0
1312,3,4,2,271,2,0,0
1313,1,4,3,296,3,1,0
1314,1,1,2,242,3,0,0
1315,3,1,1,238,3,0,1
1316,3,3,2,231,1,0,1
1317,1,1,1,250,4,1,1
1318,2,2,3,18,4,0,0
1319,2,4,3,239,1,0,1
1320,2,3,1,134,1,0,0
1321,3,4,2,161,4,1,1
1322,3,1,2,138,2,1,1
1323,1,1,2,64,4,1,1
1324,1,2,3,174,1,0,0
1325,2,1,2,61,4,0,1
1326,3,2,3,128,3,0,0
1327,2,1,1,151,4,1,1
1328,3,2,3,128,4,0,0
1329,3,4,3,190,2,0,1
1330,3,3,3,164,2,0,0
1331,3,3,2,249,4,0,1
1332,2,1,2,143,4,0,1
1333,1,1,2,282,3,0,1
1334,1,1,1,29,4,0,0
1335,1,3,1,208,2,1,1
1336,2,2,2,85,2,0,1
1337,2,4,2,260,3,0,1
1338,3,3,1,44,1,0,0
1339,1,4,1,57,3,0,0
1340,3,2,2,54,3,1,0
1341,2,2,1,233,3,0,1
1342,1,1,2,86,4,1,0
1343,3,4,1,275,2,0,1
1344,1,2,1,146,3,1,0
1345,2,1,3,279,4,0,1
1346,1,4,1,139,4,0,0
1347,1,3,1,177,1,0,0
1348,1,4,1,245,4,1,0
1349,3,3,2,139,4,0,0
1350,1,1,3,21,2,0,0
1351,1,4,2,88,3,1,0
1352,2,3,1,161,2,0,0
1353,3,3,1,98,1,1,0
1354,3,1,3,142,1,0,1
1355,1,3,1,147,1,0,1
1356,3,1,2,200,1,1,1
1357,2,1,2,67,1,0,0
1358,3,2,3,280,3,0,1
1359,3,2,1,112,2,0,0
1360,3,3,3,260,2,1,0
1361,3,3,2,278,1,1,1
1362,1,1,2,98,4,0,0
1363,3,4,1,92,4,0,0
1364,1,2,3,233,4,0,0
1365,3,4,2,171,2,1,0
1366,3,3,3,70,2,0,0
1367,3,3,2,293,2,0,1
1368,1,3,1,170,1,1,1
1369,2,2,2,287,2,0,0
1370,2,2,1,15,3,0,0
1371,2,1,3,172,4,1,1
1372,3,3,3,31,4,0,0
1373,3,1,3,233,1,1,1
1374,1,4,3,136,1,0,1
1375,2,2,1,156,1,0,1
1376,3,1,3,167,2,0,0
1377,3,1,2,198,1,1,0
1378,1,4,3,264,4,0,0
1379,2,2,2,298,1,0,1
1380,2,4,3,193,1,1,1
1381,1,3,1,168,3,0,1
1382,3,2,3,194,4,1,0
1383,2,2,3,4,2,0,0
1384,2,4,3,266,3,1,0
1385,1,1,1,90,3,1,0
1386,3,2,1,244,3,1,0
1387,2,2,2,7,1,1,0
1388,3,1,1,208,4,1,0
1389,3,1,3,266,2,1,0
1390,3,3,3,278,3,0,1
1391,2,3,1,195,3,1,0
1392,2,4,2,71,2,0,1
1393,1,2,2,272,3,1,1
1394,2,3,1,22,3,1,0
1395,1,3,3,13,1,1,0
1396,1,1,3,19,2,0,0
1397,3,2,1,106,4,0,0
1398,3,3,1,127,4,1,1
1399,3,4,3,279,2,1,1
1400,1,4,3,276,3,1,1
1401,2,2,3,146,2,1,0
1402,1,4,3,88,4,1,0
1403,1,4,3,97,2,0,1
1404,2,2,1,66,1,0,1
1405,3,1,2,270,3,0,1
1406,2,4,3,152,1,1,0
1407,3,3,3,265,1,1,1
1408,1,4,1,133,3,1,1
1409,1,4,3,104,1,0,0
1410,3,1,2,251,3,0,1
1411,2,2,3,277,4,1,1
1412,3,2,3,135,1,1,0
1413,2,3,3,274,3,1,1
1414,2,4,3,133,2,1,1
1415,3,3,1,297,2,1,0
1416,2,3,3,248,1,0,1
1417,1,4,2,262,4,0,1
1418,3,3,1,195,3,0,1
1419,3,2,3,262,3,1,0
1420,2,3,1,200,4,0,1
1421,1,4,3,162,2,0,0
1422,3,1,3,166,2,1,1
1423,1,4,2,126,4,1,0
1424,2,3,3,174,3,0,1
1425,1,4,2,232,1,1,0
1426,3,3,1,156,3,0,1
1427,1,1,2,237,3,0,1
1428,2,1,1,202,1,1,0
1429,3,4,3,78,4,0,1
1430,2,2,1,287,1,0,1
1431,2,1,2,239,4,0,1
1432,3,3,1,139,4,0,1
1433,1,4,1,21,4,1,0
1434,1,1,2,200,1,0,1
1435,3,1,3,271,4,0,1
1436,2,2,1,26,3,1,0
1437,1,3,3,209,1,1,0
1438,1,2,2,170,2,1,1
1439,2,3,1,221,2,0,0
1440,2,1,3,62,3,1,0
1441,1,4,1,269,3,1,1
1442,2,4,2,97,3,1,1
1443,3,2,2,209,1,1,1
1444,1,2,2,296,3,0,1
1445,3,2,2,44,2,1,0
1446,3,4,2,173,3,0,0
1447,3,3,1,112,3,1,1
1448,2,3,1,286,4,0,0
1449,1,4,3,219,4,1,1
1450,1,1,3,57,1,1,0
1451,1,2,1,122,4,0,1
1452,3,2,1,174,1,1,0
1453,3,2,2,65,1,0,0
1454,3,2,1,185,4,0,0
1455,2,3,1,269,4,1,1
1456,1,1,2,23,4,1,0
1457,1,2,2,284,2,1,1
1458,2,4,1,34,3,0,0
1459,3,2,2,218,3,0,1
1460,1,2,1,250,4,1,1
1461,3,2,3,165,4,1,1
1462,2,1,2,298,2,1,1
1463,3,3,3,267,1,1,1
1464,3,2,2,288,4,1,1
1465,1,4,2,152,2,0,1
1466,1,2,3,260,4,0,1
1467,2,4,1,109,1,0,1
1468,1,3,1,201,1,1,1
1469,2,1,2,170,1,1,1
1470,3,3,3,230,4,1,1
1471,2,1,3,287,1,1,1
1472,3,4,1,141,4,1,0
1473,2,3,3,230,1,0,0
1474,3,2,3,20,2,1,0
1475,2,2,3,156,2,0,1
1476,3,2,2,196,2,0,1
1477,1,2,3,89,3,0,1
1478,2,3,3,98,4,0,0
1479,3,3,1,137,1,0,0
1480,1,1,3,220,4,0,1
1481,1,4,3,190,1,0,1
1482,3,2,2,189,2,0,1
1483,2,2,1,99,1,1,1
1484,2,3,1,131,2,1,1
1485,2,4,1,143,1,1,0
1486,3,3,3,152,2,1,1
1487,2,1,2,233,3,0,1
1488,1,1,3,82,1,1,0
1489,2,2,1,246,2,0,1
1490,1,4,3,123,4,1,1
1491,1,3,3,128,3,0,1
1492,3,3,3,117,3,1,0
1493,2,1,3,176,2,0,1
1494,3,2,1,146,4,0,1
1495,3,1,1,263,2,0,1
1496,2,3,3,267,1,0,0
1497,1,4,2,19,4,1,0
1498,2,3,2,114,1,1,0
1499,2,1,2,230,4,0,0
1500,2,4,3,129,4,1,1
1501,2,2,3,50,3,0,0
1502,1,1,3,46,1,0,0
1503,1,2,2,287,3,1,1
1504,3,4,1,247,4,1,1
1505,2,2,3,264,3,0,1
1506,2,3,1,269,1,0,0
1507,3,2,1,53,1,1,1
1508,2,3,2,260,2,1,0
1509,1,4,2,181,3,0,0
1510,1,4,3,87,4,0,0
1511,2,2,3,218,2,0,1
1512,2,1,2,128,1,0,1
1513,3,3,2,143,4,1,0
1514,2,3,1,41,3,1,0
1515,1,3,2,112,2,1,0
1516,1,2,3,282,4,0,1
1517,2,3,2,224,4,0,1
1518,3,3,2,205,1,0,1
1519,3,2,3,4,3,1,0
1520,3,1,2,34,2,0,0
1521,2,1,1,218,1,0,0
1522,1,4,2,203,2,1,0
1523,1,3,3,67,1,0,1
1524,2,2,3,238,1,0,1
1525,3,1,3,209,1,0,1
1526,2,3,1,167,2,0,1
1527,1,3,3,125,4,0,0
1528,2,4,3,278,3,0,1
1529,2,4,2,144,3,0,1
1530,2,3,3,170,2,1,0
1531,1,2,2,73,2,0,0
1532,1,4,1,161,2,1,1
1533,1,2,1,155,2,0,1
1534,1,2,1,282,3,1,1
1535,2,3,2,134,3,1,1
1536,2,1,2,43,4,0,1
1537,3,3,1,230,2,1,0
1538,3,1,1,90,2,0,0
1539,1,1,2,138,4,1,1
1540,2,1,3,131,3,1,1
1541,3,1,3,72,2,1,0
1542,1,2,3,178,4,1,1
1543,1,4,1,280,1,1,1
1544,1,2,2,198,1,0,1
1545,3,1,2,156,3,1,1
1546,1,1,2,74,3,0,0
1547,3,3,1,227,1,0,0
1548,3,3,3,241,3,1,1
1549,2,1,3,290,3,1,1
1550,1,3,3,270,1,0,0
1551,3,3,1,19,1,1,0
1552,1,2,1,286,4,0,1
1553,2,2,2,204,2,1,1
1554,1,1,1,51,2,1,1
1555,3,3,2,160,2,0,0
1556,1,1,3,68,3,0,0
1557,3,2,2,246,3,0,0
1558,3,2,3,137,1,0,1
1559,1,3,2,289,1,0,1
1560,1,4,2,136,2,0,1
1561,3,3,2,165,2,0,1
1562,2,4,2,19,1,1,0
1563,1,4,3,186,2,1,0
1564,2,3,3,110,2,1,1
1565,1,2,3,53,2,1,1
1566,3,4,1,37,2,0,0
1567,1,2,1,70,1,0,1
1568,3,1,2,107,4,1,1
1569,1,1,3,48,4,1,0
1570,2,4,2,132,3,0,0
1571,2,1,3,28,2,0,0
1572,1,3,3,276,1,0,1
1573,2,3,3,144,1,1,0
1574,2,4,1,208,3,0,0
1575,2,2,1,250,2,1,1
1576,2,3,2,292,4,0,1
1577,2,2,3,220,3,1,1
1578,2,3,2,278,4,0,1
1579,1,4,3,272,1,0,1
1580,2,1,2,297,3,0,1
1581,2,3,2,273,1,1,0
1582,1,4,1,161,3,1,0
1583,1,1,3,274,3,0,0
1584,1,3,1,109,4,0,0
1585,2,2,3,198,3,1,1
1586,1,4,2,111,1,0,1
1587,2,4,3,255,1,0,1
1588,1,2,3,180,2,1,0
1589,1,2,2,124,1,0,0
1590,3,2,2,152,4,1,0
1591,1,2,2,269,4,0,1
1592,2,4,2,285,3,1,1
1593,1,4,3,223,3,0,0
1594,3,3,1,108,3,1,1
1595,2,1,1,239,2,0,1
1596,1,2,2,181,2,1,1
1597,3,1,2,11,2,1,0
1598,1,1,1,39,2,0,0
1599,1,3,1,23,2,1,0
1600,3,3,1,259,3,1,1
1601,3,2,2,55,4,1,0
1602,2,2,1,137,2,0,0
1603,3,2,3,2,4,0,0
1604,2,1,3,283,3,1,1
1605,2,1,2,53,4,1,0
1606,2,3,1,233,4,0,0
1607,1,3,2,112,4,0,1
1608,1,3,1,15,1,0,0
1609,1,2,1,256,2,1,1
1610,2,3,3,12,1,1,0
1611,3,4,2,231,1,1,0
1612,3,4,1,192,3,0,1
1613,2,1,2,121,1,0,0
1614,3,1,3,106,3,1,0
1615,3,4,1,25,2,1,0
1616,1,2,2,7,4,1,0
1617,3,1,1,276,4,1,0
1618,2,2,1,176,3,1,1
1619,3,4,3,237,2,1,0
1620,3,1,3,236,3,1,1
1621,1,1,1,39,2,0,1
1622,3,3,1,147,3,0,1
1623,1,4,1,121,4,1,1
1624,3,4,1,183,1,0,1
1625,3,1,2,120,4,1,1
1626,1,4,1,163,3,1,1
1627,3,2,1,173,1,0,0
1628,1,4,1,279,1,0,0
1629,2,1,3,236,2,0,0
1630,2,4,2,2,3,1,0
1631,1,4,2,294,4,1,1
1632,2,4,3,66,1,0,1
1633,3,4,1,46,2,1,0
1634,2,2,2,54,4,0,1
1635,3,3,1,266,4,0,1
1636,1,4,1,276,1,1,1
1637,3,4,1,250,1,0,1
1638,1,3,2,83,1,1,0
1639,1,3,2,165,3,1,1
1640,2,1,3,19,2,0,0
1641,3,1,1,298,3,1,1
1642,2,4,2,52,4,1,0
1643,1,1,1,289,1,1,1
1644,1,3,2,195,1,1,1
1645,2,1,3,124,1,1,0
1646,1,1,1,110,1,1,0
1647,1,2,3,229,1,0,1
1648,3,3,2,66,3,1,0
1649,1,1,3,97,4,0,1
1650,1,3,1,104,2,1,0
1651,2,2,3,156,3,0,0
1652,2,2,1,212,4,0,0
1653,2,3,3,143,2,0,1
1654,3,1,2,271,3,1,1
1655,1,1,2,59,4,0,0
1656,3,1,3,203,2,0,0
1657,1,3,2,54,2,0,1
1658,2,2,2,226,1,1,0
1659,3,2,2,10,4,1,0
1660,3,2,3,130,2,1,0
1661,1,2,1,246,4,0,0
1662,2,4,1,186,2,1,0
1663,1,3,2,62,3,1,0
1664,1,3,1,124,2,1,1
1665,1,1,1,209,1,0,1
1666,3,1,1,99,4,1,0
1667,3,3,2,249,4,0,1
1668,2,4,2,283,4,1,1
1669,1,2,2,84,2,0,0
1670,3,2,3,48,4,1,0
1671,2,3,2,270,4,1,1
1672,1,3,3,186,3,0,1
1673,2,3,3,19,3,0,0
1674,3,4,3,171,4,1,0
1675,1,3,1,31,4,0,0
1676,1,2,1,62,4,1,0
1677,3,3,1,227,4,1,1
1678,2,1,3,238,3,0,1
1679,2,4,2,65,2,0,0
1680,1,2,2,34,1,0,0
1681,1,4,3,181,1,0,0
1682,1,4,1,70,3,1,0
1683,3,2,1,182,4,1,1
1684,2,3,2,141,3,0,0
1685,2,3,2,275,3,1,1
1686,1,4,1,102,4,0,1
1687,3,1,3,262,3,0,0
1688,1,4,2,126,3,1,0
1689,1,4,3,222,2,0,1
1690,2,4,1,196,3,1,1
1691,3,1,1,174,1,0,0
1692,2,2,3,181,3,0,1
1693,2,1,1,229,2,1,1
1694,1,2,3,238,1,0,0
1695,2,4,3,271,2,1,0
1696,1,1,1,257,4,0,0
